Table S1.Sample list and associated metadata for newly sequenced and previously published canid genomes included in this study  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species Name,Species,Country of Origin,Location,Population of gray wolf,ID in associated study,Lat,Long,Depth,BioProject,BioSample,Study,Heterozygosity,F (inbreeding coefficient) ,Twisst pop group for central and east Asia,Twisst pop group for southwestern Asia,genetic load,fsc,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"Central Karakoram National Park, Pakistan, near Jutal Village",Karakoram,"S19-10678, 56-CKNP",36.03492307,74.29996755,10.2612,PRJEB85742,newly sequenced,this study,0.001603952,0.143929 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"Central Karakoram National Park, Pakistan",Karakoram,"S19-10679, 55-CKNPGB",35.66796055,75.15682031,11.1169,PRJEB85743,newly sequenced,this study,0.001776243,0.066651 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"outskirts of Dera Ghazi Khan, Punjab, Pakistan",Indus River plains, S19-10680,29.552489,70.32489,8.86978,PRJEB85744,newly sequenced,this study,0.001264081,0.362253 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"Kohlu, Baluchistan, Pakistan",Sulieman," S21-1037, W2-52BK",29.9003415,69.24934099,5.91226,PRJEB85745,newly sequenced,this study,0.001459896,0.177753 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"Chitral Gol National Park, Khyber Pakhtunkhwa, Pakistan",Hindu Kush," S21-1038, 67CLW",35.89786952,71.69333175,5.11382,PRJEB85746,newly sequenced,this study,0.001584159,0.075208 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"Kallar Syedan, Punjab, Pakistan",Potwar Plateau," S21-1039, 86-KSRP",33.41427764,73.37883674,6.53257,PRJEB85747,newly sequenced,this study,0.001613262,0.082308 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"South Waziristan, Khyber Paktunkhwa, Pakistan",Sulieman," S21-1041, 84-SWKP",32.34651465,69.6241521,5.79873,PRJEB85748,newly sequenced,this study,0.001590582,0.086423 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Pakistan,"Chitral Gol National Park, Khyber Pakhtunkhwa, Pakistan",Hindu Kush,"S21-1042, 85-SWKP",35.89786952,71.69333175,6.56586,PRJEB85749,newly sequenced,this study,0.001527617,0.139695 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Kyrgyzstan,"Pikertyk, Kyrgyzstan",Central Asia,WLF179,41.68139642,78.53014387,25.8671,PRJNA990466,SAMN36267804,Hennelly et al. 2023,0.001930689,0.058420 ,,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Kyrgyzstan,"Sarychat, Kyrgyzstan",Central Asia,WLF180,42.05044547,78.45023603,17.2436,PRJNA990466,SAMN36267805,Hennelly et al. 2023,0.001867521,0.066540 ,,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,India,"Outskirts of Jodhpur, Rajasthan, India",Indian,BH6,26.27649942,73.01818138,5.64103,PRJNA736617,SAMN19655086,Hennelly et al. 2021,0.001038392,0.475774 ,,Indian,,YES,,,,,,,,,,
Gray wolf,Canis lupus,India,"Baramati, Maharashtra, India",Indian,BH126,18.19709671,74.59082031,8.10355,PRJNA736617,SAMN19655089,Hennelly et al. 2021,0.000885891,0.548656 ,,Indian,,YES,,,,,,,,,,
Gray wolf,Canis lupus,India,"Velavadar Blackbuck National Park, Gujarat, India ",Indian,IW01,22.0438,72.0202,20.0689,PRJNA714797,SAMN17169709,Wang et al. 2022,0.001182749,0.547003 ,,Indian,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,India,"Nannaj, Maharashtra, India",Indian,BH124,17.8263229,75.86523587,6.82687,PRJNA736617,SAMN19655088,Hennelly et al. 2021,0.000868237,0.540830 ,,Indian,,YES,,,,,,,,,,
Gray wolf,Canis lupus,India,"Gangewadi, Maharasthra, India",Indian,BH123,17.82000355,75.98378064,25.985,PRJNA736617,SAMN19655087,Hennelly et al. 2021,0.001059234,0.526253 ,,Indian,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,China,"Ganzi, Qinghai (Garze Tibetan Autonomous Prefecture)",Tibetan,MYL,31.37363806,100.0558439,9.86301,PRJNA559966,SAMN12565073,Wang et al. 2020,0.001455296,0.252296 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,India,"Domkhar, Sham, Ladakh, India",Tibetan,BH1,34.56400156,76.15151074,4.78772,PRJNA736617,SAMN19655084,Hennelly et al. 2021,0.001589416,0.148649 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,India,"Outside of Kargil, Ladakh, India",Tibetan,BH4,34.3973106,76.78150797,4.93275,PRJNA736617,SAMN19655085,Hennelly et al. 2021,0.001392852,0.268679 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"originally caught from near Lhasa, housed in Luobulingka Zoo, Tibet (wild born), China",Tibetan,TI09,29.81259691,91.03483712,23.829,PRJNA448733,SAMN03652997,Zhang et al. 2014,0.000913369,0.621924 ,Tibetan,,YES,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Xining Zoo, Qinghai  (wild born), China. Co-authors of Zhang et al. state this wolf was originally caught near Qinghai lake. ",Tibetan,SZAXPI012802-14,36.93283322,100.3292707,23.6076,PRJNA448733,SAMN03652998,Zhang et al. 2014,0.001669919,0.222349 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Xining Zoo, Qinghai  (wild born), China. Co-authors of Zhang et al. state this wolf was originally caught near Qinghai lake",Tibetan,SZAXPI012808-15,36.93283322,100.3292707,23.9915,PRJNA448733,SAMN03653001,Zhang et al. 2014,0.001496435,0.303007 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"originally caught near Ngari Region, housed in Kashi Garden, (wild born), Tibet, China",Tibetan,TI32,32.8034874,81.88760538,22.9779,PRJNA448733,SAMN03653003,Zhang et al. 2014,0.001075951,0.519478 ,Tibetan,,YES,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Sichuan province, Chengu, Jiangyuan",Tibetan,"YPi3019, LUP000168, CLUPCN000012",30.85875337,102.7913398,8.8385,PRJNA648123,SAMN29845323,Meadows et al. 2023,0.001591698,0.054881 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Iran,"Kerman, Iran",West Asia,Iran wolf3,30.2828164,57.07311417,15.7718,PRJNA639312,SAMN15232435,Ghanatsaman et al. 2020 ,0.001916553,0.061569 ,,southwesternAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Iran,"Terhan, Iran",West Asia,Iran wolf2,35.14361324,48.53299322,16.8851,PRJNA639312,SAMN15232434,Ghanatsaman et al. 2020 ,0.001851307,0.056648 ,,southwesternAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Iran,"Hamadan, Iran",West Asia,Iran wolf1,35.72906892,51.39100905,14.1943,PRJNA639312,SAMN15232433,Ghanatsaman et al. 2020 ,0.001882269,0.075918 ,,southwesternAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,,"Near Mitzpe Ramon, Negev Desert",West Asia,"S21_2743, M110691(Steinhardt Museum of Nat Hist)",30.72,34.78,5.93626,PRJEB85747,newly sequenced,this study,0.001451575,0.172837 ,,southwesternAsia,,,,,,,,,,,,
Gray wolf,Canis lupus,Iran,no specific location,West Asia,irw-2,35.71328096,49.06829137,25.4983,PRJNA448733,SAMN02921312,Fan et al. 2016,0.00177406,0.068211 ,,southwesternAsia,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Saudi Arabia,"Breeding Centre for Endangered Arabian Wildlife, Saudi Arabia",West Asia,GreyWolf_SaudiArabia,24.97379854,44.7977182,10.7974,PRJNA494815,SAMN10180428,Gopalakrishnan et al. 2018,0.0013524,0.328152 ,,southwesternAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Syria,"Breeding Centre for Endangered Arabian Wildlife, Syria",West Asia,GreyWolf_Syria,34.82073877,38.16197632,12.6132,PRJNA494815,SAMN10180429,Gopalakrishnan et al. 2018,0.001465274,0.302061 ,,southwesternAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Iran,Hajjiabad,West Asia,LUP004107,28,57,24.1292,PRJCA000879 ,SAMC036723,Wang et al. 2019,0.001922305,0.056371 ,,southwesternAsia,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Iran,Zanjan,West Asia,"LUP004101, YPi3650, CLUPIR000003",47.52,35.25,24.111,PRJNA648123,SAMN29845326,Meadows et al. 2023,0.001933575,0.041107 ,,southwesternAsia,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Iran,Tehran,West Asia,"LUP004102, YPi3651, CLUPIR000004",51.39,35.41,25.276,PRJNA648123,SAMN29845327,Meadows et al. 2023,0.001978453,0.014984 ,,southwesternAsia,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Lebanon,,West Asia,Lebwolf1,33.88737417,35.76942138,16.6181,PRJEB85747,newly sequenced,this study,0.001749101,0.140184 ,,southwesternAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Iran,Tehran,West Asia,"LUP004105, YPi3654, CLUPIR000006",51.39,35.41,23.9419,PRJNA648123,SAMN29845329,Meadows et al. 2023,0.001934405,0.031240 ,,southwesternAsia,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Turkey,"Sarikamis, Kars, Turkey",West Asia,"MW387, MTR012",41.24115265,42.04279107,9.24757,PRJEB85747,newly sequenced,this study,0.001689574,0.041788 ,,southwesternAsia,,,,,,,,,,,,
Gray wolf,Canis lupus,Portugal,"Minho, Portugal",Europe,ptw,40.75836,-8.600056,25.0464,PRJNA448733,SAMN02921316,Fan et al. 2016,0.00125777,0.393367 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Spain,"Castilla y Leon, Spain",Europe,spw,42.660901,-4.029743,23.4506,PRJNA448733,SAMN02921319,Fan et al. 2016,0.00161443,0.220346 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Spain,Sierra Morena,Europe,,38.36959524,-3.830901273,43.468,PRJNA482523,SAMN09708541,,0.001273604,0.419007 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Italy,"Calabria, Italy",Europe,ita,39.33104405,16.34619841,9.77016,PRJNA448733,SAMN02921313,Fan et al. 2016,0.001015375,0.595613 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Norway,"Halgar, Vestre Toten Muncipality",Europe,MW005,60.600249,10.56905,5.17442,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001450997,0.108397 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Finland,Mynamaki,Europe,MW347,60.75394468,22.18612792,6.0818,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.00131061,0.178731 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Lithuania,"Sakynos, Siauliai District Municipality",Europe,MW020,56.152023,23.224096,6.12949,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001223191,0.228642 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Czech Republic,Ceska Kamenice,Europe,MW045,50.797808,14.417685,5.97663,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001226028,0.211798 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Romania,Bradut,Europe,MW062,46.128965,25.610115,6.00536,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001321679,0.169306 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Austria,Allentsteig,Europe,MW515,48.65342,15.33925,6.13,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001148218,0.269133 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Ukraine,Sumy,Europe,MW707A,49.14606546,31.53535847,7.77143,PRJEB85747,newly sequenced,this study,0.001410766,0.175683 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Bosnia and Herzegovina,Nikole Pasica,Europe,MW703A,43.7831,19.2918,6.95849,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.00150971,0.112934 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Bulgaria,Sofia region,Europe,MW706A,42.6977,23.32186,8.24271,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001577909,0.098585 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Croatia,Zaostrog,Europe,MW1126,43.16,17.32,6.01776,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001413418,0.110736 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Slovakia,"Pod Kykulu, Povina",Europe,"MW336, CL719",49.3053,18.8661,5.756,PRJEB85747,newly sequenced,this study,0.001345383,0.154788 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Greece,Fthiotida,Europe,MW1135,40.1,21.42,5.04563,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001465021,0.084490 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Slovakia,"Vitanova, Orava",Europe,MW339,49.21531,19.44052,5.93246,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001437785,0.101855 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Germany,Hessen,Europe,MW055,50.652051,9.162438,5.80457,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001390063,0.141180 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Bryansk, Russia",Europe,GW3,53.26434282,34.35244883,10.1864,PRJNA192935,SAMN01974488,Wang et al. 2013,0.001667945,0.069305 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Kalamaili Nature Reserve (wild born), Xinjiang, China",Central Asia,XJ24; BGI-01505070007,43.3,93.5,21.6681,PRJNA448733,SAMN03653000,Zhang et al. 2014,0.001897196,0.046353 ,,,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,China,"Duzhishan Garden (wild born - not from Kashgar), Xinjiang, China",Central Asia,XJ30; BGI-01505070006,46.2,83.9,24.2536,PRJNA448733,SAMN03653002,Zhang et al. 2014,0.001946726,0.029331 ,,,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Altai, Russia",Central Asia,GW1,52.33253089,87.90969994,9.97411,PRJNA448733,SAMN01974486,Wang et al. 2013,0.001761448,0.050347 ,,,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Kyrgyzstan,near Nura,Central Asia,"LUP008521, YP160822-032, CLUPKG000001",48.88602669,62.30253855,18.7131,PRJNA648123,SAMN29845331,Meadows et al. 2023,0.00174831,0.098829 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Kazakhstan,Betpak Dala,Central Asia,"LUP008522, YP160822-033, YP160822-033",46.03419599,70.20021454,19.7587,PRJNA648123,SAMN29845332,Meadows et al. 2023,0.001560097,0.198238 ,,,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Afghanistan,"Pashki,  Nuristan. Museum specimen from 1949 from the Natural History Museum of Denmark (ID 4499)",Central Asia,"AW012, Museum ID 4499 from the Natural History Museum of Denmark. From 1949",35.21016332,70.68726168,1.38555,PRJEB85747,newly sequenced,newly sequenced,,,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Altai republicKabanucha,Central Asia,"LUP008512,ypi584,CLUPRU000001",50.57490455,87.26497553,19.2632,PRJNA648123,SAMN29845333,Meadows et al. 2023,0.001972519,0.019554 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Altai republicKabanucha,Central Asia,"LUP008513,ypi585,CLUPRU000002",50.57490455,87.26497553,18.2436,PRJNA648123,SAMN29845334,Meadows et al. 2023,0.001912311,0.046572 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Altai republicKabanucha,Central Asia,"LUP008514,ypi596, CLUPRU000003",50.57490455,87.26497553,18.7548,PRJNA648123,SAMN29845335,Meadows et al. 2023,0.001825264,0.094398 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Sakha-Yakutia republic North part,Central Asia,"LUP008515,ypi639,CLUPRU000004",70.26050574,133.9829338,19.95,PRJNA648123,SAMN29845336,Meadows et al. 2023,0.001898602,0.067938 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Sochi,Central Asia,"YP160822-028,LUP008520,CLUPRU000018",43.62207498,39.71414001,17.3669,PRJNA648123,SAMN29845347,Meadows et al. 2023,0.001892489,0.000000 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Atobek conces,Central Asia,"LUP003505,YPi3124,CLUPTJ000001",38.76040507,71.64429164,15.6476,PRJNA648123,SAMN29845350,Meadows et al. 2023,0.001833623,0.020928 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Atobek conces,Central Asia,"LUP003506,YPi3125,CLUPTJ000002",38.76040507,71.64429164,20.9927,PRJNA648123,SAMN29845351,Meadows et al. 2023,0.001875587,0.037934 ,CentralAsiaMountains,,YES,,,,,,,,,,,
