Names,long,lat,A,B,C,D,E,F,Sample,Group,Label
F_CentralAsia_750016-17D.CanFam31.realigned.bam,56.43,63.47,1.00E-09,1.00E-09,1.00E-09,0.000195919,0.288279522,0.711524556,750016-17D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750016-17D.CanFam31.realigned.bam
F_CentralAsia_750114-25D.CanFam31.realigned.bam,46.21841342,75.77372513,1.00E-09,1.00E-09,1.00E-09,0.05996628,0.335995953,0.604037764,750114-25D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750114-25D.CanFam31.realigned.bam
F_CentralAsia_750117-28D.CanFam31.realigned.bam,50.25008284,75.03292196,1.00E-09,1.00E-09,1.00E-09,0.066235545,0.260068748,0.673695703,750117-28D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750117-28D.CanFam31.realigned.bam
F_CentralAsia_750119-30D.CanFam31.realigned.bam,48.40434145,79.8699309,1.00E-09,1.00E-09,1.00E-09,0.05776125,0.376770904,0.565467842,750119-30D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750119-30D.CanFam31.realigned.bam
F_CentralAsia_750125-33D.CanFam31.realigned.bam,53.32,48.06,1.00E-09,1.00E-09,1.00E-09,0.033068056,0.057646514,0.909285427,750125-33D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750125-33D.CanFam31.realigned.bam
F_CentralAsia_750282-35D.CanFam31.realigned.bam,56.5,64.59,1.00E-09,1.00E-09,1.00E-09,0.02936642,0.334319523,0.636314054,750282-35D.CanFam31.realigned.bam,CentralAsia,CentralAsia_750282-35D.CanFam31.realigned.bam
F_CentralAsia_AW012.CanFam31.realigned.bam,35.21016332,70.68726168,0.011386393,0.023018338,0.006274641,0.291197814,0.156803328,0.511319486,AW012.CanFam31.realigned.bam,CentralAsia,CentralAsia_AW012.CanFam31.realigned.bam
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,34.56400156,76.15151074,1.00E-09,0.089227735,0.253894364,0.379712743,1.01E-06,0.277164148,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,17.8263229,75.86523587,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian,Indian_BH124_Indian_Wolf.CanFam31.realigned.bam
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,18.19709671,74.59082031,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian,Indian_BH126_Indian_Wolf.CanFam31.realigned.bam
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,34.3973106,76.78150797,1.00E-09,0.102302092,0.438631392,0.293565885,1.00E-09,0.165500629,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan,Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,26.27649942,73.01818138,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian,Indian_BH6_Indian_Wolf.CanFam31.realigned.bam
G_EastAsia_China_SRR20326479.CanFam31.bam,30.85875337,102.7913398,1.00E-09,0.063874188,0.5055056,1.00E-09,0.43062021,1.00E-09,China_SRR20326479.CanFam31.bam,EastAsia,EastAsia_China_SRR20326479.CanFam31.bam
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,45.91607353,88.19307235,0.003766743,0.011148698,1.00E-09,0.061185755,0.600078298,0.323820505,China_SRR20326483.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326483.merge.CanFam31.bam
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,43.15226695,87.45226918,1.00E-09,1.00E-09,0.033587733,0.04813604,0.636484203,0.281792022,China_SRR20326484.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326484.merge.CanFam31.bam
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,44.12983254,90.63336515,1.00E-09,1.00E-09,1.00E-09,0.07797196,0.676054741,0.245973296,China_SRR20326485.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326485.merge.CanFam31.bam
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,42.90213297,86.07941029,1.00E-09,1.00E-09,0.002491082,0.061581509,0.617229026,0.31869838,China_SRR20326486.merge.CanFam31.bam,CentralAsia,CentralAsia_China_SRR20326486.merge.CanFam31.bam
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,47.25093945,128.3917478,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,China_SRR20326491.merge.CanFam31.bam,EastAsia,EastAsia_China_SRR20326491.merge.CanFam31.bam
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,36.93283322,100.3292707,1.00E-09,1.00E-09,0.652707557,1.00E-09,0.347292439,1.00E-09,Chinese_CAN11.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN11.CanFam31.realigned.bam
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,37.00305532,99.34049582,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN16.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN16.CanFam31.realigned.bam
F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam,43.3,93.5,1.00E-09,1.00E-09,0.00958978,0.059595873,0.631558034,0.299256311,Chinese_CAN24.CanFam31.realigned.bam,CentralAsia,CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam,46.2,83.9,1.00E-09,0.000376834,0.021442988,0.045609,0.529900773,0.402670403,Chinese_CAN30.CanFam31.realigned.bam,CentralAsia,CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,32.8034874,81.88760538,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN32.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN32.CanFam31.realigned.bam
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,48.63554032,122.5668829,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,Chinese_CAN6.CanFam31.realigned.bam,EastAsia,EastAsia_Chinese_CAN6.CanFam31.realigned.bam
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,50.87782377,121.8637579,1.00E-09,1.00E-09,0.00452012,1.00E-09,0.995479876,1.00E-09,Chinese_CAN7.CanFam31.realigned.bam,EastAsia,EastAsia_Chinese_CAN7.CanFam31.realigned.bam
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,29.81259691,91.03483712,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan,Tibetan_Chinese_CAN9A.CanFam31.realigned.bam
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,29.552489,70.32489,1.00E-09,1.00E-09,1.00E-09,0.745227352,1.00E-09,0.254772644,DGKhan_S19_10680.CanFam31.bam,Pakistan,Pakistan_DGKhan_S19_10680.CanFam31.bam
H_Europe_IberianWolf.CanFam31.realigned.bam,42.660901,-4.029743,1.00E-09,0.243645134,1.00E-09,1.00E-09,1.00E-09,0.756354862,IberianWolf.CanFam31.realigned.bam,Europe,Europe_IberianWolf.CanFam31.realigned.bam
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,17.82000355,75.98378064,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,Indianwolf_BH123.merge.CanFam31.bam,Indian,Indian_Indianwolf_BH123.merge.CanFam31.bam
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,22.0438,72.0202,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,1.00E-09,Indianwolf_SRR13985171.CanFam31.bam,Indian,Indian_Indianwolf_SRR13985171.CanFam31.bam
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,49.86888339,124.1489141,1.00E-09,0.000285905,6.19E-08,1.00E-09,0.99971403,1.00E-09,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia,EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam
C_WestAsia_Iran_SAMC036723.CanFam31.bam,28,57,1.00E-09,0.089541804,1.00E-09,0.23782534,1.00E-09,0.672632853,Iran_SAMC036723.CanFam31.bam,WestAsia,WestAsia_Iran_SAMC036723.CanFam31.bam
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,36.48011146,50.28548283,0.012764565,0.008217303,1.36E-05,0.183962429,0.120990014,0.674052125,Iran_SRR20326408.merge.CanFam31.bam,WestAsia,WestAsia_Iran_SRR20326408.merge.CanFam31.bam
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,35.41,51.39,0.015740796,0.293978249,0.000000001,0.10243604,0.03318004,0.554664874,Iran_SRR20326410.merge.CanFam31.bam,WestAsia,WestAsia_Iran_SRR20326410.merge.CanFam31.bam
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,35.25,47.52,0.01153204,0.00280009,0.022145871,0.172413342,0.127646773,0.663461883,Iran_SRR20326411.merge.CanFam31.bam,WestAsia,WestAsia_Iran_SRR20326411.merge.CanFam31.bam
C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam,30.2828164,57.07311417,1.00E-09,0.08451959,1.00E-09,0.238039417,1.00E-09,0.67744099,Iranwolf_SRR12009566.CanFam31.bam,WestAsia,WestAsia_Iranwolf_SRR12009566.CanFam31.bam
C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam,35.14361324,48.53299322,0.019367593,0.0955427,0.023250789,0.145441594,0.000000001,0.716397323,Iranwolf_SRR12009567.CanFam31.bam,WestAsia,WestAsia_Iranwolf_SRR12009567.CanFam31.bam
C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam,35.72906892,51.39100905,0.008692102,0.023954134,5.57E-07,0.221012033,0.014689858,0.731651316,Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia,WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam
C_WestAsia_IranWolf.CanFam31.realigned.bam,35.71328096,49.06829137,0.027004598,0.031103052,0.031738553,0.173519001,0.055178206,0.68145659,IranWolf.CanFam31.realigned.bam,WestAsia,WestAsia_IranWolf.CanFam31.realigned.bam
H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,39.33104405,16.34619841,1.00E-09,1.66E-07,1.00E-09,1.00E-09,1.00E-09,0.99999983,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe,Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,36.03492307,74.29996755,1.00E-09,1.00E-09,0.06555687,0.345314846,0.188702584,0.400425698,Karakoram_S19_10678.CanFam31.bam,Pakistan,Pakistan_Karakoram_S19_10678.CanFam31.bam
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,35.66796055,75.15682031,1.00E-09,1.00E-09,0.019155415,0.408070803,0.226908379,0.345865401,Karakoram_S19_10679.CanFam31.bam,Pakistan,Pakistan_Karakoram_S19_10679.CanFam31.bam
F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam,46.03419599,70.20021454,1.00E-09,0.013916365,1.00E-09,0.077982446,0.702281459,0.205819728,Kazakhstan_SRR20326405.CanFam31.bam,CentralAsia,CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,41.68139642,78.53014387,1.00E-09,1.00E-09,0.090267054,0.102236386,0.493164228,0.314332329,Kyrgyz_WLF179.CanFam31.bam,CentralAsia,CentralAsia_Kyrgyz_WLF179.CanFam31.bam
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,42.05044547,78.45023603,0.000240057,1.00E-09,0.03483379,0.084269892,0.489439683,0.391216577,Kyrgyz_WLF180.CanFam31.bam,CentralAsia,CentralAsia_Kyrgyz_WLF180.CanFam31.bam
F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam,40.76317799,74.81325483,1.00E-09,0.441772395,1.00E-09,0.011242352,0.304316484,0.242668767,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,CentralAsia,CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
C_WestAsia_Lebanonwolf.CanFam31.bam,33.88737417,35.76942138,0.034751959,0.052530965,1.00E-09,0.209856803,1.00E-09,0.702860271,Lebanonwolf.CanFam31.bam,WestAsia,WestAsia_Lebanonwolf.CanFam31.bam
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,41.52920016,122.2836808,1.00E-09,0.013761037,0.040570423,1.00E-09,0.945668537,1.00E-09,LiaoNingWolf.CanFam31.realigned.bam,EastAsia,EastAsia_LiaoNingWolf.CanFam31.realigned.bam
H_Europe_MW005.CanFam31.realigned.bam,60.600249,10.56905,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW005.CanFam31.realigned.bam,Europe,Europe_MW005.CanFam31.realigned.bam
H_Europe_MW020.CanFam31.realigned.bam,56.152023,23.224096,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW020.CanFam31.realigned.bam,Europe,Europe_MW020.CanFam31.realigned.bam
H_Europe_MW045.CanFam31.realigned.bam,50.797808,14.417685,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW045.CanFam31.realigned.bam,Europe,Europe_MW045.CanFam31.realigned.bam
H_Europe_MW055.CanFam31.realigned.bam,50.652051,9.162438,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW055.CanFam31.realigned.bam,Europe,Europe_MW055.CanFam31.realigned.bam
H_Europe_MW062.CanFam31.realigned.bam,46.128965,25.610115,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW062.CanFam31.realigned.bam,Europe,Europe_MW062.CanFam31.realigned.bam
H_Europe_MW1126.CanFam31.realigned.bam,43.16,17.32,1.00E-09,0.01313222,1.00E-09,1.00E-09,1.00E-09,0.986867776,MW1126.CanFam31.realigned.bam,Europe,Europe_MW1126.CanFam31.realigned.bam
H_Europe_MW1135.CanFam31.realigned.bam,40.1,21.42,1.00E-09,0.015860659,1.00E-09,1.00E-09,0.032128902,0.952010436,MW1135.CanFam31.realigned.bam,Europe,Europe_MW1135.CanFam31.realigned.bam
H_Europe_MW336.CanFam31.realigned.bam,49.27985601,19.1713496,1.00E-09,8.16E-06,1.00E-09,1.00E-09,1.00E-09,0.999991832,MW336.CanFam31.realigned.bam,EastAsia,EastAsia_MW336.CanFam31.realigned.bam
H_Europe_MW339.CanFam31.realigned.bam,49.21531,19.44052,1.00E-09,0.054942979,1.00E-09,1.00E-09,1.00E-09,0.945057017,MW339.CanFam31.realigned.bam,Europe,Europe_MW339.CanFam31.realigned.bam
H_Europe_MW347.CanFam31.realigned.bam,60.75394468,22.18612792,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW347.CanFam31.realigned.bam,Europe,Europe_MW347.CanFam31.realigned.bam
C_WestAsia_MW387.CanFam31.realigned.bam,41.24115265,42.04279107,0.003482022,0.051170406,0.000000001,0.177587297,0.049531618,0.718228656,MW387.CanFam31.realigned.bam,WestAsia,WestAsia_MW387.CanFam31.realigned.bam
F_CentralAsia_MW486.CanFam31.realigned.bam,65.86165,44.22931,1.00E-09,1.00E-09,0.004640995,0.027406308,0.111974764,0.855977931,MW486.CanFam31.realigned.bam,CentralAsia,CentralAsia_MW486.CanFam31.realigned.bam
H_Europe_MW515.CanFam31.realigned.bam,48.65342,15.33925,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW515.CanFam31.realigned.bam,Europe,Europe_MW515.CanFam31.realigned.bam
G_EastAsia_MW524.CanFam31.realigned.bam,57.443441,127.41704,1.00E-09,0.019648619,1.00E-09,1.00E-09,0.895762339,0.084589039,MW524.CanFam31.realigned.bam,EastAsia,EastAsia_MW524.CanFam31.realigned.bam
G_EastAsia_MW538.CanFam31.realigned.bam,72.384805,114.594015,1.00E-09,0.010737192,1.00E-09,1.00E-09,0.847380703,0.141882102,MW538.CanFam31.realigned.bam,EastAsia,EastAsia_MW538.CanFam31.realigned.bam
G_EastAsia_MW561.CanFam31.realigned.bam,43.71147,111.91448,0.000000001,0.005200939,0.011628424,0.045329114,0.736499071,0.201342451,MW561.CanFam31.realigned.bam,EastAsia,EastAsia_MW561.CanFam31.realigned.bam
G_EastAsia_MW574.CanFam31.realigned.bam,46.38686805,102.7913401,1.00E-09,0.028727071,0.029010661,1.00E-09,0.880085767,0.062176499,MW574.CanFam31.realigned.bam,EastAsia,EastAsia_MW574.CanFam31.realigned.bam
G_EastAsia_MW588.CanFam31.realigned.bam,48.73024,98.23747,1.00E-09,0.018340623,1.00E-09,1.00E-09,0.847088947,0.134570426,MW588.CanFam31.realigned.bam,EastAsia,EastAsia_MW588.CanFam31.realigned.bam
H_Europe_MW703A.CanFam31.realigned.bam,43.7831,19.2918,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,MW703A.CanFam31.realigned.bam,Europe,Europe_MW703A.CanFam31.realigned.bam
H_Europe_MW706A.CanFam31.realigned.bam,42.6977,23.32186,1.00E-09,0.000547451,1.00E-09,1.00E-09,1.00E-09,0.999452545,MW706A.CanFam31.realigned.bam,Europe,Europe_MW706A.CanFam31.realigned.bam
H_Europe_MW707A.CanFam31.realigned.bam,50.97593021,34.87384068,1.00E-09,0.047385958,1.00E-09,1.00E-09,1.00E-09,0.952614038,MW707A.CanFam31.realigned.bam,Europe,Europe_MW707A.CanFam31.realigned.bam
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,31.37363806,100.0558439,1.00E-09,1.00E-09,0.715915135,1.00E-09,0.284084861,1.00E-09,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan,Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam
H_Europe_PortugueseWolf.CanFam31.realigned.bam,40.75836,-8.600056,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,PortugueseWolf.CanFam31.realigned.bam,Europe,Europe_PortugueseWolf.CanFam31.realigned.bam
F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam,43.62207498,39.71414001,0.018630553,0.047714652,0.000000001,0.073214295,0.224134397,0.636306103,Russia_SRR20326388.merge.CanFam31.bam,CentralAsia,CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam,70.26050574,133.9829338,1.00E-09,0.003207178,0.025464069,1.00E-09,0.919544489,0.051784261,Russia_SRR20326400.merge.CanFam31.bam,CentralAsia,CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
F_CentralAsia_Russia_SRR20326401.CanFam31.bam,52.53353967,82.65883696,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.832786864,0.167213132,Russia_SRR20326401.CanFam31.bam,CentralAsia,CentralAsia_Russia_SRR20326401.CanFam31.bam
F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam,53.89039478,89.41321881,2.74E-06,1.00E-09,0.001570235,0.021325319,0.675455379,0.301646327,Russia_SRR20326403.merge.CanFam31.bam,CentralAsia,CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam,55.47718537,87.93161247,0.005982079,1.00E-09,0.012698025,0.044488526,0.616423209,0.320408161,Russia_SRR20326404.merge.CanFam31.bam,CentralAsia,CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,29.9003415,69.24934099,1.00E-09,0.028988006,0.001265056,0.659996029,1.00E-09,0.309750906,S21_1037_Kolhu.CanFam31.bam,Pakistan,Pakistan_S21_1037_Kolhu.CanFam31.bam
D_Pakistan_S21_1038_Chitral.CanFam31.bam,35.89786952,71.69333175,1.00E-09,1.00E-09,0.034165683,0.318934255,0.249985351,0.396914709,S21_1038_Chitral.CanFam31.bam,Pakistan,Pakistan_S21_1038_Chitral.CanFam31.bam
D_Pakistan_S21_1039_Punjab.CanFam31.bam,33.41427764,73.37883674,1.00E-09,0.015121405,1.00E-09,0.465597151,0.065981463,0.453299979,S21_1039_Punjab.CanFam31.bam,Pakistan,Pakistan_S21_1039_Punjab.CanFam31.bam
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,32.34651465,69.6241521,1.00E-09,0.00401382,0.02354302,0.455227175,0.121001219,0.396214765,S21_1041_Waziristan.CanFam31.bam,Pakistan,Pakistan_S21_1041_Waziristan.CanFam31.bam
D_Pakistan_S21_1042_Chitral.CanFam31.bam,35.89786952,71.69333175,1.00E-09,1.00E-09,0.014833056,0.41594679,0.122602303,0.446617848,S21_1042_Chitral.CanFam31.bam,Pakistan,Pakistan_S21_1042_Chitral.CanFam31.bam
C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam,31.12472732,34.77573696,0.016223038,0.067138551,1.00E-09,0.181489274,1.00E-09,0.735149136,S21_2743_SaudiArabia.CanFam31.bam,WestAsia,WestAsia_S21_2743_SaudiArabia.CanFam31.bam
C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam,24.97379854,44.7977182,0.08999712,0.035459891,1.00E-09,0.184939169,1.00E-09,0.689603819,Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia,WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,36.08332655,111.4968733,1.00E-09,2.71E-05,1.00E-09,1.00E-09,0.999972927,1.00E-09,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia,EastAsia_Shanxi1Wolf.CanFam31.realigned.bam
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,36.77280921,112.2988699,1.00E-09,0.016689055,1.25E-07,1.00E-09,0.983310817,1.00E-09,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia,EastAsia_Shanxi2Wolf.CanFam31.realigned.bam
C_WestAsia_Syrian_wolf.CanFam31.realigned.bam,34.82073877,38.16197632,0.072264756,0.080523678,1.00E-09,0.196016861,1.00E-09,0.651194704,Syrian_wolf.CanFam31.realigned.bam,WestAsia,WestAsia_Syrian_wolf.CanFam31.realigned.bam
F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam,38.36463803,72.71409311,1.00E-09,1.00E-09,0.015030527,0.116817697,0.582786518,0.285365256,Tajikisan_SRR20326383.merge.CanFam31.bam,CentralAsia,CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam
F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam,37.72439101,73.19749153,1.00E-09,1.00E-09,0.18749724,0.135296224,0.418177411,0.259029123,Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia,CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam
F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam,38.91383927,71.98899547,1.00E-09,1.00E-09,0.010256344,0.157432184,0.553335763,0.278975707,Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia,CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam
F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam,38.00194155,73.90061652,1.00E-09,1.00E-09,0.061879455,0.154088288,0.468627414,0.315404842,Tajikistan_SRR20326381.CanFam31.bam,CentralAsia,CentralAsia_Tajikistan_SRR20326381.CanFam31.bam
F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam,37.82859494,72.25266734,1.00E-09,1.00E-09,0.079233338,0.164444588,0.443510671,0.312811401,Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia,CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam
F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam,38.08846159,72.88987435,1.00E-09,1.00E-09,0.100142116,0.15337798,0.462544188,0.283935714,Tajikistan_SRR20326384.CanFam31.bam,CentralAsia,CentralAsia_Tajikistan_SRR20326384.CanFam31.bam
F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam,38.74266607,72.99973763,1.00E-09,1.00E-09,0.034796141,0.191924321,0.469348603,0.303930934,Tajikistan_SRR20326385.merge.CanFam31.bam,CentralAsia,CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam
F_CentralAsia_Wang_GW1.CanFam31.realigned.bam,52.33253089,87.90969994,1.00E-09,0.037094,0.021622375,0.02907152,0.586927351,0.325284753,Wang_GW1.CanFam31.realigned.bam,CentralAsia,CentralAsia_Wang_GW1.CanFam31.realigned.bam
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,66.75292172,173.4644747,1.00E-09,0.006864552,1.00E-09,1.00E-09,0.893385717,0.099749729,Wang_GW2.CanFam31.realigned.bam,EastAsia,EastAsia_Wang_GW2.CanFam31.realigned.bam
H_Europe_Wang_GW3.CanFam31.realigned.bam,53.26434282,34.35244883,1.00E-09,0.014421475,0.001131543,1.00E-09,0.087344318,0.897102662,Wang_GW3.CanFam31.realigned.bam,Europe,Europe_Wang_GW3.CanFam31.realigned.bam
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,48.43867083,121.1069365,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,Wang_GW4.CanFam31.realigned.bam,EastAsia,EastAsia_Wang_GW4.CanFam31.realigned.bam
H_Europe_wSierraMorena.CanFam31.realigned.bam,38.36969618,-3.829313401,1.00E-09,0.47776299,1.00E-09,1.00E-09,1.00E-09,0.522237006,wSierraMorena.CanFam31.realigned.bam,Europe,Europe_wSierraMorena.CanFam31.realigned.bam