Names,A1,A2,Sample,Group
D_Pakistan_Karakoram_S19_10678.CanFam31.bam,0.664235296,0.335764704,Karakoram_S19_10678.CanFam31.bam,Pakistan
D_Pakistan_Karakoram_S19_10679.CanFam31.bam,0.597945669,0.402054331,Karakoram_S19_10679.CanFam31.bam,Pakistan
D_Pakistan_DGKhan_S19_10680.CanFam31.bam,0.299588034,0.700411966,DGKhan_S19_10680.CanFam31.bam,Pakistan
D_Pakistan_S21_1037_Kolhu.CanFam31.bam,0.365711013,0.634288987,S21_1037_Kolhu.CanFam31.bam,Pakistan
D_Pakistan_S21_1038_Chitral.CanFam31.bam,0.692463062,0.307536938,S21_1038_Chitral.CanFam31.bam,Pakistan
D_Pakistan_S21_1039_Punjab.CanFam31.bam,0.540611492,0.459388508,S21_1039_Punjab.CanFam31.bam,Pakistan
D_Pakistan_S21_1041_Waziristan.CanFam31.bam,0.559935717,0.440064283,S21_1041_Waziristan.CanFam31.bam,Pakistan
D_Pakistan_S21_1042_Chitral.CanFam31.bam,0.602181533,0.397818467,S21_1042_Chitral.CanFam31.bam,Pakistan
F_CentralAsia_Kyrgyz_WLF179.CanFam31.bam,0.894321893,0.105678107,Kyrgyz_WLF179.CanFam31.bam,CentralAsia
F_CentralAsia_Kyrgyz_WLF180.CanFam31.bam,0.908721575,0.091278425,Kyrgyz_WLF180.CanFam31.bam,CentralAsia
B_Indian_BH6_Indian_Wolf.CanFam31.realigned.bam,0.000000001,0.999999999,BH6_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_BH126_Indian_Wolf.CanFam31.realigned.bam,0.000000001,0.999999999,BH126_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_SRR13985171.CanFam31.bam,0.000000001,0.999999999,Indianwolf_SRR13985171.CanFam31.bam,Indian
B_Indian_BH124_Indian_Wolf.CanFam31.realigned.bam,0.000000001,0.999999999,BH124_Indian_Wolf.CanFam31.realigned.bam,Indian
B_Indian_Indianwolf_BH123.merge.CanFam31.bam,0.000000001,0.999999999,Indianwolf_BH123.merge.CanFam31.bam,Indian
E_Tibetan_MYL_Tibetan_SAMN12565073.CanFam31.bam,0.914123775,0.085876225,MYL_Tibetan_SAMN12565073.CanFam31.bam,Tibetan
E_Tibetan_BH1_Tibetan_Wolf.CanFam31.realigned.bam,0.593495784,0.406504216,BH1_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_BH4_Tibetan_Wolf.CanFam31.realigned.bam,0.697221569,0.302778431,BH4_Tibetan_Wolf.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN9A.CanFam31.realigned.bam,0.90323366,0.09676634,Chinese_CAN9A.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN11.CanFam31.realigned.bam,0.970970525,0.029029475,Chinese_CAN11.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN16.CanFam31.realigned.bam,0.938068633,0.061931367,Chinese_CAN16.CanFam31.realigned.bam,Tibetan
E_Tibetan_Chinese_CAN32.CanFam31.realigned.bam,0.82348419,0.17651581,Chinese_CAN32.CanFam31.realigned.bam,Tibetan
C_WestAsia_Iranwolf_SRR12009566.CanFam31.bam,0.719442194,0.280557806,Iranwolf_SRR12009566.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009567.CanFam31.bam,0.814006663,0.185993337,Iranwolf_SRR12009567.CanFam31.bam,WestAsia
C_WestAsia_Iranwolf_SRR12009568.merge.CanFam31.bam,0.751962466,0.248037534,Iranwolf_SRR12009568.merge.CanFam31.bam,WestAsia
C_WestAsia_S21_2743_SaudiArabia.CanFam31.bam,0.76860032,0.23139968,S21_2743_SaudiArabia.CanFam31.bam,WestAsia
C_WestAsia_IranWolf.CanFam31.realigned.bam,0.785462826,0.214537174,IranWolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam,0.67623548,0.32376452,Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia
C_WestAsia_Syrian_wolf.CanFam31.realigned.bam,0.686039524,0.313960476,Syrian_wolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Lebanonwolf.CanFam31.bam,0.735015502,0.264984498,Lebanonwolf.CanFam31.bam,WestAsia
C_WestAsia_Iran_SAMC036723.CanFam31.bam,0.719311412,0.280688588,Iran_SAMC036723.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,0.803715705,0.196284295,Iran_SRR20326411.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,0.871612805,0.128387195,Iran_SRR20326410.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,0.792957568,0.207042432,Iran_SRR20326408.merge.CanFam31.bam,WestAsia
C_WestAsia_MW387.CanFam31.realigned.bam,0.795879549,0.204120451,MW387.CanFam31.realigned.bam,WestAsia
H_Europe_PortugueseWolf.CanFam31.realigned.bam,0.999999999,0.000000001,PortugueseWolf.CanFam31.realigned.bam,Europe
H_Europe_IberianWolf.CanFam31.realigned.bam,0.999999999,0.000000001,IberianWolf.CanFam31.realigned.bam,Europe
H_Europe_wSierraMorena.CanFam31.realigned.bam,0.999999999,0.000000001,wSierraMorena.CanFam31.realigned.bam,Europe
H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,0.999999999,0.000000001,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,Europe
H_Europe_MW005.CanFam31.realigned.bam,0.999999999,0.000000001,MW005.CanFam31.realigned.bam,Europe
H_Europe_MW347.CanFam31.realigned.bam,0.999999999,0.000000001,MW347.CanFam31.realigned.bam,Europe
H_Europe_MW020.CanFam31.realigned.bam,0.999999999,0.000000001,MW020.CanFam31.realigned.bam,Europe
H_Europe_MW045.CanFam31.realigned.bam,0.999999999,0.000000001,MW045.CanFam31.realigned.bam,Europe
H_Europe_MW062.CanFam31.realigned.bam,0.999999999,0.000000001,MW062.CanFam31.realigned.bam,Europe
H_Europe_MW515.CanFam31.realigned.bam,0.999999999,0.000000001,MW515.CanFam31.realigned.bam,Europe
H_Europe_MW707A.CanFam31.realigned.bam,0.999999999,0.000000001,MW707A.CanFam31.realigned.bam,Europe
H_Europe_MW703A.CanFam31.realigned.bam,0.999999199,8.01E-07,MW703A.CanFam31.realigned.bam,Europe
H_Europe_MW706A.CanFam31.realigned.bam,0.999999825,1.75E-07,MW706A.CanFam31.realigned.bam,Europe
H_Europe_MW1126.CanFam31.realigned.bam,0.999999999,0.000000001,MW1126.CanFam31.realigned.bam,Europe
H_Europe_MW1135.CanFam31.realigned.bam,0.999999809,1.91E-07,MW1135.CanFam31.realigned.bam,Europe
G_Europe_MW336.CanFam31.realigned.bam,0.999999999,0.000000001,MW336.CanFam31.realigned.bam,EastAsia
H_Europe_MW339.CanFam31.realigned.bam,0.999999999,0.000000001,MW339.CanFam31.realigned.bam,Europe
H_Europe_MW055.CanFam31.realigned.bam,0.999999999,0.000000001,MW055.CanFam31.realigned.bam,Europe
H_Europe_Wang_GW3.CanFam31.realigned.bam,0.999999712,2.88E-07,Wang_GW3.CanFam31.realigned.bam,Europe
F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam,0.942986535,0.057013465,Chinese_CAN24.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam,0.960296097,0.039703903,Chinese_CAN30.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Wang_GW1.CanFam31.realigned.bam,0.980003084,0.019996916,Wang_GW1.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam,0.967664958,0.032335042,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam,0.938476496,0.061523504,Kazakhstan_SRR20326405.CanFam31.bam,CentralAsia
F_CentralAsia_AW012.CanFam31.realigned.bam,0.68972922,0.31027078,AW012.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam,0.946997683,0.053002317,Russia_SRR20326404.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam,0.982193931,0.017806069,Russia_SRR20326403.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326401.CanFam31.bam,0.999999999,0.000000001,Russia_SRR20326401.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam,0.999999999,0.000000001,Russia_SRR20326400.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam,0.906239883,0.093760117,Russia_SRR20326388.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam,0.827549022,0.172450978,Tajikistan_SRR20326385.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam,0.854851891,0.145148109,Tajikistan_SRR20326384.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam,0.897102612,0.102897388,Tajikisan_SRR20326383.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam,0.84591692,0.15408308,Tajikistan_SRR20326382.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam,0.860156792,0.139843208,Tajikistan_SRR20326381.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam,0.859390521,0.140609479,Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia
F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam,0.865900089,0.134099911,Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia
F_CentralAsia_750114-25D.CanFam31.realigned.bam,0.948566587,0.051433413,750114-25D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750119-30D.CanFam31.realigned.bam,0.948279398,0.051720602,750119-30D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750125-33D.CanFam31.realigned.bam,0.958869369,0.041130631,750125-33D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750117-28D.CanFam31.realigned.bam,0.922238378,0.077761622,750117-28D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750282-35D.CanFam31.realigned.bam,0.97833867,0.02166133,750282-35D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750016-17D.CanFam31.realigned.bam,0.999999329,6.71E-07,750016-17D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,0.94605229,0.05394771,China_SRR20326486.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,0.933552955,0.066447045,China_SRR20326485.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,0.953145122,0.046854878,China_SRR20326484.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,0.939651039,0.060348961,China_SRR20326483.merge.CanFam31.bam,CentralAsia
F_CentralAsia_MW486.CanFam31.realigned.bam,0.969875937,0.030124063,MW486.CanFam31.realigned.bam,CentralAsia
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,0.999999999,0.000000001,China_SRR20326491.merge.CanFam31.bam,EastAsia
G_EastAsia_China_SRR20326479.CanFam31.bam,0.967830189,0.032169811,China_SRR20326479.CanFam31.bam,EastAsia
G_EastAsia_MW574.CanFam31.realigned.bam,0.999999999,0.000000001,MW574.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,0.999999999,0.000000001,Wang_GW4.CanFam31.realigned.bam,EastAsia
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,0.999999999,0.000000001,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW588.CanFam31.realigned.bam,0.999999999,0.000000001,MW588.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW561.CanFam31.realigned.bam,0.954955631,0.045044369,MW561.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW524.CanFam31.realigned.bam,0.999999999,0.000000001,MW524.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW538.CanFam31.realigned.bam,0.999999999,0.000000001,MW538.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW336.CanFam31.realigned.bam,0.999999999,0.000000001,MW336.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,0.999527033,0.000472967,Chinese_CAN7.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,0.999999999,0.000000001,Chinese_CAN6.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,0.999999999,0.000000001,Wang_GW2.CanFam31.realigned.bam,EastAsia
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,0.999999999,0.000000001,LiaoNingWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,0.999999999,0.000000001,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,0.999999999,0.000000001,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia
I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam,0.960866539,0.039133461,Ellesmere1.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam,0.964162244,0.035837756,AlaskanWolf.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam,0.898598986,0.101401014,MexicanWolf.CanFam31.realigned.bam,NorthAmerica
A_A_Dhole_BerlinZoo.CanFam31.realigned.bam,0.000000001,0.999999999,BerlinZoo.CanFam31.realigned.bam,Dhole
A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam,0.000000001,0.999999999,Ethiopian_wolf_B3.CanFam31.realigned.bam,Ethiopianwolf
A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam,0.000000001,0.999999999,Syrian_jackal.CanFam31.realigned.bam,GoldenJackal
A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam,0.000000001,0.999999999,KenyaJackal.CanFam31.realigned.bam,Africanwolf
A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam,0.00014141,0.99985859,ERR4372262_Morocco_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam,0.000000001,0.999999999,CRR010907_Algeria_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam,0.000000001,0.999999999,Africanwolf_SRR8049196.CanFam31.bam,Africanwolf
A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam,0.251090309,0.748909691,CaliforniaCoyote.CanFam31.realigned.bam,Coyote
A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam,0.326547392,0.673452608,SRR1518489_Coyote_Illinois.CanFam31.bam,Coyote
Z_Dog_Beagle_SRR7107976.CanFam31.bam,0.999290228,0.000709772,Beagle_SRR7107976.CanFam31.bam,Dog
Z_Dog_Dauchound_SRR7107971.CanFam31.bam,0.999820444,0.000179556,Dauchound_SRR7107971.CanFam31.bam,Dog
Z_Dog_SRR7107875_Airdale.CanFam31.bam,0.999999999,0.000000001,SRR7107875_Airdale.CanFam31.bam,Dog
Z_Dog_MW207.CanFam31.realigned.bam,0.999998875,1.12E-06,MW207.CanFam31.realigned.bam,Dog
Z_Dog_SharPei02.CanFam31.realigned.bam,0.97640274,0.02359726,SharPei02.CanFam31.realigned.bam,Dog