A1,A2,A3,A4,A5,Population
0.39110807,0.189647229,0.203029375,0.080994164,0.135221162,D_Pakistan_Karakoram_S19_10678.CanFam31.bam
0.444858095,0.196334825,0.23985363,0.075106734,0.043846716,D_Pakistan_Karakoram_S19_10679.CanFam31.bam
0.40892542,1E-09,0.591074577,1E-09,1E-09,D_Pakistan_DGKhan_S19_10680.CanFam31.bam
0.459730036,0.025302935,0.464958145,0.050008883,1E-09,D_Pakistan_S21_1037_Kolhu.CanFam31.bam
0.444102887,0.191189732,0.250857167,0.086821222,0.027028992,D_Pakistan_S21_1038_Chitral.CanFam31.bam
0.460639138,0.058463643,0.421065524,0.059831694,1E-09,D_Pakistan_S21_1039_Punjab.CanFam31.bam
0.462283896,0.085919126,0.372307403,0.079489574,0.000000001,D_Pakistan_S21_1041_Waziristan.CanFam31.bam
0.465373448,0.178310002,0.265588145,0.078795678,0.011932727,D_Pakistan_S21_1042_Chitral.CanFam31.bam
0.267070303,0.571561718,0.045246755,0.110143484,0.00597774,F_CentralAsiaKyrgyz_WLF179.CanFam31.bam
0.274982293,0.567938744,0.043970172,0.113108766,2.556E-08,F_CentralAsiaKyrgyz_WLF180.CanFam31.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianBH6_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianBH126_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianIndianwolf_SRR13985171.CanFam31.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianBH124_Indian_Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.999999996,1E-09,1E-09,B_IndianIndianwolf_BH123.merge.CanFam31.bam
1E-09,0.09128819,1E-09,1E-09,0.908711807,E_TibetanMYL_Tibetan_SAMN12565073.CanFam31.bam
0.276254283,0.000000001,0.220135689,0.070525651,0.433084376,E_TibetanBH1_Tibetan_Wolf.CanFam31.realigned.bam
0.184064422,1E-09,0.173318489,1E-09,0.642617087,E_TibetanBH4_Tibetan_Wolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,E_TibetanChinese_CAN9A.CanFam31.realigned.bam
1E-09,0.222619661,1E-09,1E-09,0.777380336,E_TibetanChinese_CAN11.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,E_TibetanChinese_CAN16.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,E_TibetanChinese_CAN32.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009566.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009567.CanFam31.bam
0.999701319,1E-09,0.000298678,1E-09,1E-09,C_WestAsiaIranwolf_SRR12009568.merge.CanFam31.bam
0.88024336,1E-09,1E-09,0.119756637,1E-09,C_WestAsiaS21_2743_SaudiArabia.CanFam31.bam
0.979906457,1E-09,0.02009354,1E-09,1E-09,C_WestAsiaIranWolf.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaSaudi_wolf_B1.CanFam31.realigned.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaSyrian_wolf.CanFam31.realigned.bam
0.917263984,1E-09,0.001897701,0.080838313,1E-09,C_WestAsiaLebanonwolf.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIran_SAMC036723.CanFam31.bam
0.930038265,0.020982779,1E-09,0.048978954,1E-09,C_WestAsiaIran_SRR20326411.merge.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIran_SRR20326410.merge.CanFam31.bam
0.999999996,1E-09,1E-09,1E-09,1E-09,C_WestAsiaIran_SRR20326408.merge.CanFam31.bam
0.739688209,1.93716E-05,0.018397699,0.241894719,1E-09,C_WestAsiaMW387.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropePortugueseWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeIberianWolf.CanFam31.realigned.bam
0.012584181,0.09433428,1E-09,0.893081537,1E-09,H_EuropewSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW005.CanFam31.realigned.bam
1E-09,0.011337031,1E-09,0.988662966,1E-09,H_EuropeMW347.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW020.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW045.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW062.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW515.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW707A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW703A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW706A.CanFam31.realigned.bam
0.000179086,1E-09,1E-09,0.999820911,1E-09,H_EuropeMW1126.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW1135.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW339.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_EuropeMW055.CanFam31.realigned.bam
1E-09,0.067466726,1E-09,0.932533271,1E-09,H_EuropeWang_GW3.CanFam31.realigned.bam
0.135948155,0.679396834,0.023855479,0.156493121,0.004306411,F_CentralAsiaChinese_CAN24.CanFam31.realigned.bam
0.156005235,0.621274164,0.012921521,0.20006609,0.00973299,F_CentralAsiaChinese_CAN30.CanFam31.realigned.bam
0.120298356,0.620534696,0.02224138,0.236925566,0.000000001,F_CentralAsiaWang_GW1.CanFam31.realigned.bam
0.206102662,0.612861972,0.032876977,0.14665516,0.001503229,F_CentralAsiaKyrgyzstan_SRR20326406.merge.CanFam31.bam
0.154817705,0.679458144,0.022365023,0.143359128,0.000000001,F_CentralAsiaKazakhstan_SRR20326405.CanFam31.bam
0.487046031,0.158960942,0.213109337,0.132834697,0.008048993,F_CentralAsiaAW012.CanFam31.realigned.bam
0.117556963,0.740101557,0.006054052,0.136287427,1E-09,F_CentralAsiaRussia_SRR20326404.merge.CanFam31.bam
0.098318155,0.754670395,8.92622E-06,0.147002523,1E-09,F_CentralAsiaRussia_SRR20326403.merge.CanFam31.bam
1E-09,0.93778883,1E-09,0.062211167,1E-09,F_CentralAsiaRussia_SRR20326401.CanFam31.bam
1E-09,0.999999954,1E-09,4.33197E-08,1E-09,F_CentralAsiaRussia_SRR20326400.merge.CanFam31.bam
0.394031087,0.263634279,0.008847108,0.333487525,0.000000001,F_CentralAsiaRussia_SRR20326388.merge.CanFam31.bam
0.352838973,0.509439209,0.056589788,1E-09,0.081132029,F_CentralAsiaTajikistan_SRR20326385.merge.CanFam31.bam
0.378800233,0.519091651,0.059308879,0.000000001,0.042799236,F_CentralAsiaTajikistan_SRR20326384.CanFam31.bam
0.387832127,0.505529005,0.077722743,0.000000001,0.028916124,F_CentralAsiaTajikisan_SRR20326383.merge.CanFam31.bam
0.363015651,0.540119806,0.062149635,0.000000001,0.034714907,F_CentralAsiaTajikistan_SRR20326382.merge.CanFam31.bam
0.29800543,0.365080274,0.060843745,0.000000001,0.27607055,F_CentralAsiaTajikistan_SRR20326381.CanFam31.bam
0.377643789,0.523920275,0.055070263,1E-09,0.043365672,F_CentralAsiaTajikistan_SRR20326251.merge.CanFam31.bam
0.286842616,0.371302182,0.049599172,1E-09,0.292256029,F_CentralAsiaTajikistan_SRR20326250.merge.CanFam31.bam
0.190990206,0.339169106,0.014999863,0.454840824,1E-09,F_CentralAsia750114-25D.CanFam31.realigned.bam
0.206113703,0.31796966,0.015172109,0.460744527,1E-09,F_CentralAsia750119-30D.CanFam31.realigned.bam
0.143574982,0.141832356,0.007286476,0.707306185,1E-09,F_CentralAsia750125-33D.CanFam31.realigned.bam
0.194093458,0.355402726,0.027172927,0.423330888,0.000000001,F_CentralAsia750117-28D.CanFam31.realigned.bam
0.078685542,0.298161087,0.000123758,0.623029612,1E-09,F_CentralAsia750282-35D.CanFam31.realigned.bam
0.089014154,0.275307763,0.01178977,0.623888312,1E-09,F_CentralAsia750016-17D.CanFam31.realigned.bam
0.194265137,0.682983333,0.020855344,0.100106833,0.001789353,F_CentralAsiaChina_SRR20326486.merge.CanFam31.bam
0.195075598,0.668112999,0.023650911,0.113160491,0.000000001,F_CentralAsiaChina_SRR20326485.merge.CanFam31.bam
0.189834397,0.661770376,0.019787465,0.128607761,0.000000001,F_CentralAsiaChina_SRR20326484.merge.CanFam31.bam
0.197040972,0.608169147,0.011639978,0.183143662,6.24051E-06,F_CentralAsiaChina_SRR20326483.merge.CanFam31.bam
1E-09,0.170192809,1E-09,0.829807188,1E-09,F_CentralAsiaMW486.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,G_EastAsiaChina_SRR20326491.merge.CanFam31.bam
1E-09,0.981042662,1E-09,0.00811393,0.010843406,G_EastAsiaMW574.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,G_EastAsiaWang_GW4.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,G_EastAsiaInnerMongoliaWolf.CanFam31.realigned.bam
0.037716166,0.857492899,0.000000001,0.104790917,1.65435E-08,G_EastAsiaMW588.CanFam31.realigned.bam
0.075385331,0.772034687,0.012755674,0.137848969,0.00197534,G_EastAsiaMW561.CanFam31.realigned.bam
1E-09,0.900037288,1E-09,0.099962709,1E-09,G_EastAsiaMW524.CanFam31.realigned.bam
1E-09,0.85571789,1E-09,0.144282107,1E-09,G_EastAsia_MW538.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,H_Europe_MW336.CanFam31.realigned.bam
1E-09,0.979162331,1E-09,1E-09,0.020837666,G_EastAsiaChinese_CAN7.CanFam31.realigned.bam
1E-09,0.999999942,1E-09,1E-09,5.49471E-08,G_EastAsiaChinese_CAN6.CanFam31.realigned.bam
1E-09,0.875939444,1E-09,0.124060553,1E-09,G_EastAsiaWang_GW2.CanFam31.realigned.bam
1E-09,0.976842322,1E-09,1E-09,0.023157675,G_EastAsiaLiaoNingWolf.CanFam31.realigned.bam
1E-09,0.95933549,1E-09,1E-09,0.040664507,G_EastAsiaShanxi2Wolf.CanFam31.realigned.bam
1E-09,0.954166557,1E-09,1E-09,0.04583344,G_EastAsiaShanxi1Wolf.CanFam31.realigned.bam
1E-09,0.375567965,1E-09,1E-09,0.624432032,E_TibetanChina_Sichuan_again_SRR20326479.CanFam31.bam