P1,,P2,Region,Group,Group_ordered,Group_broad,Lat,Long,P3,P4,Dstat,Se,Zscore,Sig,ABBA,BABA,total,Location,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326381,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.18732144,73.99845525,Wolf_Tibetan_CAN32,Andeanfox,-0.003208,0.000292,-10.981,yes,402569,545871,44668530,345.24,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326250,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.18732144,73.99845525,Wolf_Tibetan_CAN34,Andeanfox,-0.002747,0.000269,-10.209,yes,408102,530806,44668530,345.24,
Wolf_Norway_MW005,,Wolf_InnerMongoliia_CAN7,no,EastChina,E_EastChina,EastChina_Mongolia,64.789251,127.814014,Wolf_Tibetan_CAN32,Andeanfox,-0.001661,0.000099,-16.775,yes,381185,455402,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_InnerMongolia_CAN6,no,EastChina,E_EastChina,EastChina_Mongolia,64.789251,127.814014,Wolf_Tibetan_CAN32,Andeanfox,-0.001541,0.00012,-12.813,yes,386823,455677,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_China_LiaoNing,no,EastChina,E_EastChina,EastChina_Mongolia,41.52920016,122.2836808,Wolf_Tibetan_CAN32,Andeanfox,-0.001216,0.000113,-10.768,yes,385584,439923,44668530,1261.95,
Wolf_Norway_MW005,,Wolf_China_InnerMong_Wang_GW4,no,EastChina,E_EastChina,EastChina_Mongolia,43.50679116,114.5133632,Wolf_Tibetan_CAN32,Andeanfox,-0.001168,0.000108,-10.816,yes,373720,425912,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_Shanxi2_SAMN03168395,no,EastChina,E_EastChina,EastChina_Mongolia,36.08332655,111.4968733,Wolf_Tibetan_CAN49,Andeanfox,-0.001075,0.00012,-8.943,yes,388760,436772,44668530,693.14,
Wolf_Norway_MW005,,Wolf_Karakoram_S19_10678,no,highPakistan,A_highPakistan,highPakistan,36.03492307,74.29996755,Wolf_Tibetan_CAN32,Andeanfox,-0.001007,0.000197,-5.104,yes,426924,471910,44668530,133.59,
Wolf_Norway_MW005,,Wolf_China_Shanxi1,no,EastChina,E_EastChina,EastChina_Mongolia,36.08332655,111.4968733,Wolf_Tibetan_CAN32,Andeanfox,-0.000569,0.000129,-4.421,yes,419348,444765,44668530,693.14,
Wolf_Norway_MW005,,Wolf_China_InnerMongoliaWolf,no,EastChina,E_EastChina,EastChina_Mongolia,43.50679116,114.5133632,Wolf_Tibetan_CAN32,Andeanfox,-0.000566,0.000113,-5.005,yes,401608,426888,44668530,1306.83,
Wolf_Norway_MW005,,Wolf_Mongolia_MW574,no,Mongolia,F_Mongolia,EastChina_Mongolia,46.38686805,102.7913401,Wolf_Tibetan_CAN32,Andeanfox,-0.000516,0.000116,-4.438,yes,391727,414786,44668530,655.25,
Wolf_Norway_MW005,,Wolf_Mongolia_MW588,no,Mongolia,F_Mongolia,EastChina_Mongolia,48.73024,98.23747,Wolf_Tibetan_CAN32,Andeanfox,-0.00037,0.000084,-4.421,yes,389449,405969,44668530,808.63,
Wolf_Norway_MW005,,Wolf_Mongolia_MW561,no,Mongolia,F_Mongolia,EastChina_Mongolia,43.71147,111.91448,Wolf_Tibetan_CAN32,Andeanfox,-0.000333,0.000111,-2.991,no,389434,404293,44668530,746.06,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326385,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.76040507,71.64429164,Wolf_Tibetan_CAN32,Andeanfox,-0.000177,0.000192,-0.924,no,435420,443339,44668530,345.24,
Wolf_Norway_MW005,,Wolf_GeneralIran,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,35.71328096,49.06829137,Wolf_Tibetan_CAN32,Andeanfox,-0.000152,0.00008,-1.897,no,409487,416295,44668530,808.63,
Wolf_Norway_MW005,,Wolf_Russia_GW3,no,Russia,H_Russia,Russia,53.26434282,34.35244883,Wolf_Tibetan_CAN45,Andeanfox,-0.000122,0.0001,-1.214 ,no,373795,379236,44668530,1436.53,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326251,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.18732144,73.99845525,Wolf_Tibetan_CAN35,Andeanfox,-0.000066,0.000145,-0.451,no,435935,438863,44668530,345.24,
Wolf_Norway_MW005,,China_SRR20326491_Heilongjiang,no,EastChina,E_EastChina,EastChina_Mongolia,47.25093945,128.3917478,Wolf_Tibetan_CAN32,Andeanfox,0.000055,0.000099,0.556,no,439246,436784,44668530,1591.63,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326384,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.76040507,71.64429164,Wolf_Tibetan_CAN32,Andeanfox,0.000161,0.000129,1.244,no,435249,428054,44668530,345.24,
Wolf_Norway_MW005,,Wolf_Karakoram_S19_10679,no,highPakistan,A_highPakistan,highPakistan,35.66796055,75.15682031,Wolf_Tibetan_CAN32,Andeanfox,0.000173,0.000131,1.324,no,442702,434971,44668530,133.59,
Wolf_Norway_MW005,,Wolf_Czech_MW045,no,Europe,I_Europe,Europe,50.797808,14.417685,Wolf_Tibetan_CAN32,Andeanfox,0.000188,0.000055,3.434,no,373586,365180,44668530,3274.56,
Wolf_Norway_MW005,,Wolf_Tajikistan_SRR20326382,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.18732144,73.99845525,Wolf_Tibetan_CAN32,Andeanfox,0.000258,0.000147,1.756,no,441745,430241,44668530,345.24,
Wolf_Norway_MW005,,Wolf_Chitral_S21_1038,no,highPakistan,A_highPakistan,highPakistan,35.89786952,71.69333175,Wolf_Tibetan_CAN32,Andeanfox,0.000296,0.000106,2.788,no,421634,408398,44668530,295.19,
Wolf_Norway_MW005,,Wolf_Croatia_MW1126,no,Europe,I_Europe,Europe,43.16,17.32,Wolf_Tibetan_CAN32,Andeanfox,0.000304,0.000062,4.926,no,382545,368968,44668530,"3,217.30",
Wolf_Norway_MW005,,Wolf_Greece_MW1135,no,Europe,I_Europe,Europe,40.1,21.42,Wolf_Tibetan_CAN32,Andeanfox,0.000304,0.000062,4.926,no,382545,368968,44668530,2970.84,
Wolf_Norway_MW005,,Wolf_Kazakhstan_750114,no,Kazakhstan,G_Kazakhstan,Kazakhstan,48.71935718,69.4279307,Wolf_Tibetan_CAN32,Andeanfox,0.000318,0.000078,4.048,no,401489,387302,44668530,999.72,
Wolf_Norway_MW005,,Wolf_MW486_Russia,no,Russia,H_Russia,Russia,44.22931,65.86165,Wolf_Tibetan_CAN32,Andeanfox,0.000342,0.000055,6.276,no,376667,361387,44668530,2555.41,
Wolf_Norway_MW005,,Wolf__Kyrgyz180,no,Kyrgyzstan,C_Kyrgyzstan,CentralAsianmountains,42.05044547,78.45023603,Wolf_Tibetan_CAN32,Andeanfox,0.000355,0.000091,3.894,no,435453,419581,44668530,433.02,
Wolf_Norway_MW005,,Wolf_Kazakhstan_750119,no,Kazakhstan,G_Kazakhstan,Kazakhstan,48.71935718,69.4279307,Wolf_Tibetan_CAN32,Andeanfox,0.000359,0.000075,4.802,no,402451,386427,44668530,1081.04,
Wolf_Norway_MW005,,Wolf_Kyrgyz179,no,Kyrgyzstan,C_Kyrgyzstan,CentralAsianmountains,41.68139642,78.53014387,Wolf_Tibetan_CAN32,Andeanfox,0.000372,0.000113,3.29,no,439843,423241,44668530,478.86,
Wolf_Norway_MW005,,Wolf_Germany_MW055,no,Europe,I_Europe,Europe,50.652051,9.162438,Wolf_Tibetan_CAN32,Andeanfox,0.000373,0.000054,6.919,no,377488,360846,44668530,3457.44,
Wolf_Norway_MW005,,Wolf_Finland_MW347,no,Europe,I_Europe,Europe,60.75394468,22.18612792,Wolf_Tibetan_CAN32,Andeanfox,0.000379,0.000099,3.823,no,351907,334995,44668530,2892.84,
Wolf_Norway_MW005,,Wolf_Kazakhstan_750117,no,Kazakhstan,G_Kazakhstan,Kazakhstan,48.71935718,69.4279307,Wolf_Tibetan_CAN32,Andeanfox,0.000393,0.000077,5.139,no,403722,386156,44668530,1062.9,
Wolf_Norway_MW005,,Wolf_Slovakia_MW339,no,Europe,I_Europe,Europe,49.21531,19.44052,Wolf_Tibetan_CAN47,Andeanfox,0.000406,0.000054,7.468,no,384135,365996,44668530,3046.02,
Wolf_Norway_MW005,,Wolf_Lithuania_MW020,no,Europe,I_Europe,Europe,56.152023,23.224096,Wolf_Tibetan_CAN32,Andeanfox,0.000414,0.000102,4.05,no,388327,369827,44668530,2860.93,
Wolf_Norway_MW005,,Wolf_Tajikisan_SRR20326383,no,Tajikistan,B_Tajikistan,CentralAsianmountains,38.76040507,71.64429164,Wolf_Tibetan_CAN33,Andeanfox,0.000428,0.000111,3.865,no,444154,425048,44668530,345.24,
Wolf_Norway_MW005,,Wolf_MW062_Romania,no,Europe,I_Europe,Europe,46.128965,25.610115,Wolf_Tibetan_CAN32,Andeanfox,0.00044,0.000098,4.494,no,386651,367004,44668530,2872.78,
Wolf_Norway_MW005,,Wolf_Russia_7502882,no,Russia,H_Russia,Russia,56.5,64.59,Wolf_Tibetan_CAN46,Andeanfox,0.000458,0.000073,6.294,no,395254,374806,44668530,1600.42,
Wolf_Norway_MW005,,Wolf_Turkey,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,41.24115265,42.04279107,Wolf_Tibetan_CAN32,Andeanfox,0.000473,0.000076,6.253,no,410008,388875,44668530,2015.74,
Wolf_Norway_MW005,,Wolf_Austria_MW515,no,Europe,I_Europe,Europe,48.65342,15.33925,Wolf_Tibetan_CAN32,Andeanfox,0.000487,0.000074,6.598,no,390074,368315,44668530,3278.6,
Wolf_Norway_MW005,,Wolf_Russia_750016,no,Russia,H_Russia,Russia,56.43,63.47,Wolf_Tibetan_CAN33,Andeanfox,0.000522,0.0001,5.203,no,399888,376560,44668530,1709.25,
Wolf_Norway_MW005,,Wolf_Russia_SRR20326404,no,Russia,H_Russia,Russia,50.57490455,87.26497553,Wolf_Tibetan_CAN36,Andeanfox,0.000534,0.000114,4.669,no,444333,420464,44668530,1003.36,
Wolf_Norway_MW005,,Wolf_Russia_SRR20326403,no,Russia,H_Russia,Russia,50.57490455,87.26497553,Wolf_Tibetan_CAN37,Andeanfox,0.000539,0.000117,4.605,no,442695,418633,44668530,1003.36,
Wolf_Norway_MW006,,Wolf_Kazakhstan_SRR20326405,no,Kazakhstan,G_Kazakhstan,Kazakhstan,46.03419599,70.20021454,Wolf_Tibetan_CAN32,Andeanfox,0.00055,0.00009,6.082,no,441659,417088,44668530,997.47,
Wolf_Norway_MW007,,Wolf_Russia_SRR20326400,no,Russia,H_Russia,Russia,70.26050574,133.9829338,Wolf_Tibetan_CAN39,Andeanfox,0.000566,0.000117,4.831,no,445568,420287,44668530,2768.14,
Wolf_Norway_MW008,,Wolf_Russia_750125,no,Russia,H_Russia,Russia,48.06,53.32,Wolf_Tibetan_CAN34,Andeanfox,0.000569,0.000072,7.859,no,394700,369290,44668530,2644.18,
Wolf_Norway_MW011,,Wolf_Ukraine_MW707,no,Europe,I_Europe,Europe,49.14606546,31.53535847,Wolf_Tibetan_CAN32,Andeanfox,0.000651,0.00006,10.794,no,397225,368131,44668530,3357.49,
Wolf_Norway_MW012,,Wolf_Chitral_S21_1042,no,highPakistan,A_highPakistan,highPakistan,35.89786952,71.69333175,Wolf_Tibetan_CAN32,Andeanfox,0.000673,0.000135,4.979,no,440527,410445,44668530,274.75,
Wolf_Norway_MW013,,Wolf_Italy_ItalianWolf_SAMN02921313,no,Europe,I_Europe,Europe,39.33104405,16.34619841,Wolf_Tibetan_CAN32,Andeanfox,0.000674,0.000063,10.763,no,408203,378105,44668530,3519.06,
Wolf_Norway_MW014,,Wolf_Kyrgyzstan_SRR20326406,no,Kyrgyzstan,C_Kyrgyzstan,CentralAsianmountains,48.88602669,62.30253855,Wolf_Tibetan_CAN32,Andeanfox,0.000675,0.000115,5.887,no,444084,413935,44668530,505.98,
Wolf_Norway_MW015,,Wolf_Russia_SRR20326401,no,Russia,H_Russia,Russia,50.57490455,87.26497553,Wolf_Tibetan_CAN38,Andeanfox,0.000714,0.000086,8.284,no,442881,410977,44668530,1436.73,
Wolf_Norway_MW016,,Wolf_Spain_Iberian,no,Europe,I_Europe,Europe,42.660901,-4.029743,Wolf_Tibetan_CAN42,Andeanfox,0.000744,0.000073,10.179 ,no,421482,388252,44668530,4374.18,
Wolf_Norway_MW017,,Wolf_Bosnia_MW703A,no,Europe,I_Europe,Europe,43.7831,19.2918,Wolf_Tibetan_CAN32,Andeanfox,0.000761,0.000097,7.872,no,401055,367062,44668530,3264.11,
Wolf_Norway_MW018,,Wolf_Bulgaria_MW706A,no,Europe,I_Europe,Europe,42.6977,23.32186,Wolf_Tibetan_CAN32,Andeanfox,0.000761,0.000097,7.872,no,401055,367062,44668530,2952.45,
Wolf_Norway_MW019,,Wolf_Portugal,no,Europe,I_Europe,Europe,40.75836,-8.600056,Wolf_Tibetan_CAN32,Andeanfox,0.000771,0.00007,10.981,no,419056,384622,44668530,4490.96,
Wolf_Norway_MW020,,Wolf_Waziristan_S21_1041,no,highPakistan,A_highPakistan,highPakistan,32.34651465,69.6241521,Wolf_Tibetan_CAN32,Andeanfox,0.000822,0.000098,8.368,no,439619,402886,44668530,445.5,
Wolf_Norway_MW021,,Wolf_Kolhu_S21_1037,no,highPakistan,A_highPakistan,highPakistan,29.9003415,69.24934099,Wolf_Tibetan_CAN32,Andeanfox,0.000954,0.000098,9.777,no,446893,404296,44668530,551.79,
Wolf_Norway_MW022,,Wolf_Russia_SRR20326388,no,Russia,H_Russia,Russia,43.62207498,39.71414001,Wolf_Tibetan_CAN40,Andeanfox,0.001097,0.000104,10.567,no,442794,393801,44668530,2242.02,
Wolf_Norway_MW007,,Wolf_Israel_S21_2743,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,31.12472732,34.77573696,Wolf_Tibetan_CAN32,Andeanfox,0.001208,0.00009,13.444,no,441979,388005,44668530,2444.55,
Wolf_Norway_MW008,,Wolf_Iran_Tehran_SRR12009567,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,35.14361324,48.53299322,Wolf_Tibetan_CAN32,Andeanfox,0.001241,0.00009,13.854,no,454647,399208,44668530,1463.57,
Wolf_Norway_MW005,,Wolf_Iran_Hamadan,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,35.72906892,51.39100905,Wolf_Tibetan_CAN32,Andeanfox,0.00127,0.000086,14.712,no,452464,395742,44668530,1630.46,
Wolf_Norway_MW005,,Wolf_Syria,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,34.82073877,38.16197632,Wolf_Tibetan_CAN41,Andeanfox,0.001299,0.000079,16.376 ,no,447719,389685,44668530,2165.06,
Wolf_Norway_MW005,,Wolf_Iran_Tehran_SRR20326410,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,51.39,35.41,Wolf_Tibetan_CAN32,Andeanfox,0.001315,0.000085,15.532,no,458007,399260,44668530,1630.46,
Wolf_Norway_MW005,,Wolf_Iran_Tehran_SRR20326408,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,51.39,35.41,Wolf_Tibetan_CAN32,Andeanfox,0.001342,0.000081,16.493,no,458682,398721,44668530,1630.46,
Wolf_Norway_MW005,,Wolf_Iran_Kerman_SRR12009566,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,30.2828164,57.07311417,Wolf_Tibetan_CAN32,Andeanfox,0.001351,0.000085,15.959,no,455584,395233,44668530,1203.85,
Wolf_Norway_MW005,,Wolf_Iran_Zanjan,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,47.52,35.25,Wolf_Tibetan_CAN32,Andeanfox,0.001373,0.000084,16.261,no,459134,397782,44668530,1617.58,
Wolf_Norway_MW005,,Wolf_SaudiArabia,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,24.97379854,44.7977182,Wolf_Tibetan_CAN35,Andeanfox,0.001419,0.000084,16.916,no,455711,392348,44668530,2169.71,
Wolf_Norway_MW005,,Wolf_Iran_Hajjiabad,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,28,57,Wolf_Tibetan_CAN32,Andeanfox,0.001423,0.000086,16.59,no,461173,397601,44668530,1481.57,
Wolf_Norway_MW005,,Lebanonwolf,SWAsia,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,33.88737417,35.76942138,Wolf_Tibetan_CAN32,Andeanfox,0.001652,0.000116,14.229,no,467654,393856,44668530,2513.57,
Wolf_Norway_MW005,,China_SRR20326479_Sichuan,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.007014,0.000317,-22.133 ,yes,342484,655796,44668530 ,757.96,
Wolf_Norway_MW005,,Tibetanwolf_BH1,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.004211,0.000301,-13.976 ,yes,359674,547767,44668530 ,86.36,
Wolf_Norway_MW005,,Tibetanwolf_BH4,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.006784,0.000363,-18.707 ,yes,327986,630998,44668530 ,28.03,
Wolf_Norway_MW005,,Tibetanwolf_MYL_SAMN12565073,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.009346,0.000356,-26.220 ,yes,313166,730651,44668530 ,350.12,
Wolf_Norway_MW005,,Wolf_Tibetan_CAN9A,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.016941,0.00041,-41.365 ,yes,210120,966847,44668530 ,0,
Wolf_Norway_MW005,,Wolf_Qinghai_CAN11,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.0105,0.000328,-32.026 ,yes,279462,748479,44668530 ,0,
Wolf_Norway_MW005,,Wolf_Qinghai_CAN16,no,, , ,, ,Wolf_Tibetan_CAN32 ,Andeanfox,-0.012131,0.000359,-33.820 ,yes,265016,806898,44668530 ,0,