Sample,Heterozygosity,Long,Lat
750016-17D.CanFam31.realigned.bam,0.001594904,56.43,63.47
750114-25D.CanFam31.realigned.bam,0.001618864,46.21841342,75.77372513
750117-28D.CanFam31.realigned.bam,0.001620097,50.25008284,75.03292196
750119-30D.CanFam31.realigned.bam,0.001607991,48.40434145,79.8699309
750125-33D.CanFam31.realigned.bam,0.001601662,53.32,48.06
750282-35D.CanFam31.realigned.bam,0.001600416,56.5,64.59
BH1_Tibetan_Wolf.CanFam31.realigned.bam,0.001589416,34.56400156,76.15151074
BH124_Indian_Wolf.CanFam31.realigned.bam,0.000868237,17.8263229,75.86523587
BH126_Indian_Wolf.CanFam31.realigned.bam,0.000885891,18.19709671,74.59082031
BH4_Tibetan_Wolf.CanFam31.realigned.bam,0.001392852,34.3973106,76.78150797
BH6_Indian_Wolf.CanFam31.realigned.bam,0.001038392,26.27649942,73.01818138
China_SRR20326479.CanFam31.bam,0.001591698,30.85875337,102.7913398
China_SRR20326483.merge.CanFam31.bam,0.002024491,45.91607353,88.19307235
China_SRR20326484.merge.CanFam31.bam,0.001962094,43.15226695,87.45226918
China_SRR20326485.merge.CanFam31.bam,0.001944173,44.12983254,90.63336515
China_SRR20326486.merge.CanFam31.bam,0.001925429,42.90213297,86.07941029
China_SRR20326491.merge.CanFam31.bam,0.001910464,47.25093945,128.3917478
Chinese_CAN11.CanFam31.realigned.bam,0.001669919,36.93283322,100.3292707
Chinese_CAN16.CanFam31.realigned.bam,0.001496435,37.00305532,99.34049582
Chinese_CAN24.CanFam31.realigned.bam,0.001897196,43.3,93.5
Chinese_CAN30.CanFam31.realigned.bam,0.001946726,46.2,83.9
Chinese_CAN32.CanFam31.realigned.bam,0.001075951,32.8034874,81.88760538
Chinese_CAN6.CanFam31.realigned.bam,0.001665451,48.63554032,122.5668829
Chinese_CAN7.CanFam31.realigned.bam,0.001793374,50.87782377,121.8637579
Chinese_CAN9A.CanFam31.realigned.bam,0.000913369,29.81259691,91.03483712
DGKhan_S19_10680.CanFam31.bam,0.001264081,29.552489,70.32489
Indianwolf_BH123.merge.CanFam31.bam,0.001059234,17.82000355,75.98378064
Indianwolf_SRR13985171.CanFam31.bam,0.001182749,22.0438,72.0202
InnerMongoliaWolf.CanFam31.realigned.bam,0.001648982,49.86888339,124.1489141
Iran_SAMC036723.CanFam31.bam,0.001922305,28,57
Iran_SRR20326408.merge.CanFam31.bam,0.001934405,36.48011146,50.28548283
Iran_SRR20326410.merge.CanFam31.bam,0.001978453,35.41,51.39
Iran_SRR20326411.merge.CanFam31.bam,0.001933575,35.25,47.52
Iranwolf_SRR12009566.CanFam31.bam,0.001916553,30.2828164,57.07311417
Iranwolf_SRR12009567.CanFam31.bam,0.001851307,35.14361324,48.53299322
Iranwolf_SRR12009568.merge.CanFam31.bam,0.001882269,35.72906892,51.39100905
IranWolf.CanFam31.realigned.bam,0.00177406,35.71328096,49.06829137
ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,0.001015375,39.33104405,16.34619841
Karakoram_S19_10678.CanFam31.bam,0.001603952,36.03492307,74.29996755
Karakoram_S19_10679.CanFam31.bam,0.001776243,35.66796055,75.15682031
Kazakhstan_SRR20326405.CanFam31.bam,0.001560097,46.03419599,70.20021454
Kyrgyz_WLF179.CanFam31.bam,0.001930689,41.68139642,78.53014387
Kyrgyz_WLF180.CanFam31.bam,0.001867521,42.05044547,78.45023603
Kyrgyzstan_SRR20326406.merge.CanFam31.bam,0.00174831,40.76317799,74.81325483
Lebanonwolf.CanFam31.bam,0.001749101,33.88737417,35.76942138
LiaoNingWolf.CanFam31.realigned.bam,0.001781083,41.52920016,122.2836808
MW005.CanFam31.realigned.bam,0.001450997,60.600249,10.56905
MW020.CanFam31.realigned.bam,0.001223191,56.152023,23.224096
MW045.CanFam31.realigned.bam,0.001226028,50.797808,14.417685
MW055.CanFam31.realigned.bam,0.001390063,50.652051,9.162438
MW062.CanFam31.realigned.bam,0.001321679,46.128965,25.610115
MW1126.CanFam31.realigned.bam,0.001413418,43.16,17.32
MW1135.CanFam31.realigned.bam,0.001465021,40.1,21.42
MW339.CanFam31.realigned.bam,0.001437785,49.21531,19.44052
MW347.CanFam31.realigned.bam,0.00131061,60.75394468,22.18612792
MW387.CanFam31.realigned.bam,0.001689574,41.24115265,42.04279107
MW486.CanFam31.realigned.bam,0.001247325,65.86165,44.22931
MW515.CanFam31.realigned.bam,0.001148218,48.65342,15.33925
MW524.CanFam31.realigned.bam,0.001496612,57.443441,127.41704
MW538.CanFam31.realigned.bam,0.00149134,72.384805,114.594015
MW561.CanFam31.realigned.bam,0.001519376,43.71147,111.91448
MW574.CanFam31.realigned.bam,0.001422663,46.38686805,102.7913401
MW588.CanFam31.realigned.bam,0.001539224,48.73024,98.23747
MW703A.CanFam31.realigned.bam,0.00150971,43.7831,19.2918
MW706A.CanFam31.realigned.bam,0.001577909,42.6977,23.32186
MW707A.CanFam31.realigned.bam,0.001410766,50.97593021,34.87384068
MYL_Tibetan_SAMN12565073.CanFam31.bam,0.001455296,31.37363806,100.0558439
PortugueseWolf.CanFam31.realigned.bam,0.00125777,40.75836,-8.600056
Russia_SRR20326388.merge.CanFam31.bam,0.001892489,43.62207498,39.71414001
Russia_SRR20326400.merge.CanFam31.bam,0.001898602,70.26050574,133.9829338
Russia_SRR20326401.CanFam31.bam,0.001825264,52.53353967,82.65883696
Russia_SRR20326403.merge.CanFam31.bam,0.001912311,53.89039478,89.41321881
Russia_SRR20326404.merge.CanFam31.bam,0.001972519,55.47718537,87.93161247
S21_1037_Kolhu.CanFam31.bam,0.001459896,29.9003415,69.24934099
S21_1038_Chitral.CanFam31.bam,0.001584159,35.89786952,71.69333175
S21_1039_Punjab.CanFam31.bam,0.001613262,33.41427764,73.37883674
S21_1041_Waziristan.CanFam31.bam,0.001590582,32.34651465,69.6241521
S21_1042_Chitral.CanFam31.bam,0.001527617,35.89786952,71.69333175
S21_2743_SaudiArabia.CanFam31.bam,0.001451575,31.12472732,34.77573696
Saudi_wolf_B1.CanFam31.realigned.bam,0.0013524,24.97379854,44.7977182
Shanxi1Wolf.CanFam31.realigned.bam,0.001682221,36.08332655,111.4968733
Shanxi2Wolf.CanFam31.realigned.bam,0.001374632,36.77280921,112.2988699
Syrian_wolf.CanFam31.realigned.bam,0.001465274,34.82073877,38.16197632
Tajikisan_SRR20326383.merge.CanFam31.bam,0.001879887,38.36463803,72.71409311
Tajikistan_SRR20326250.merge.CanFam31.bam,0.001946471,37.72439101,73.19749153
Tajikistan_SRR20326251.merge.CanFam31.bam,0.00166694,38.91383927,71.98899547
Tajikistan_SRR20326381.CanFam31.bam,0.001939408,38.00194155,73.90061652
Tajikistan_SRR20326382.merge.CanFam31.bam,0.001798811,37.82859494,72.25266734
Tajikistan_SRR20326384.CanFam31.bam,0.001875587,38.08846159,72.88987435
Tajikistan_SRR20326385.merge.CanFam31.bam,0.001833623,38.74266607,72.99973763
Wang_GW1.CanFam31.realigned.bam,0.001761448,52.33253089,87.90969994
Wang_GW2.CanFam31.realigned.bam,0.001541327,66.75292172,173.4644747
Wang_GW3.CanFam31.realigned.bam,0.001667945,53.26434282,34.35244883
Wang_GW4.CanFam31.realigned.bam,0.001485017,48.43867083,121.1069365