Het,F,Sample,Location
0.001603952,0.143929,Wolf_Karakoram_S19_10678,DPakistan
0.001776243,0.066651,Wolf_Karakoram_S19_10679,DPakistan
0.001264081,0.362253,Wolf_DGKhan_S19_10680,DPakistan
0.001459896,0.177753,Wolf_Kolhu_S21_1037,DPakistan
0.001584159,0.075208,Wolf_Chitral_S21_1038,DPakistan
0.001613262,0.082308,Wolf_Punjab_S21_1039,DPakistan
0.001590582,0.086423,Wolf_Waziristan_S21_1041,DPakistan
0.001527617,0.139695,Wolf_Chitral_S21_1042,DPakistan
0.001930689,0.05842,Wolf_Kyrgyz179,ZCentralAsia
0.001867521,0.06654,Wolf__Kyrgyz180,ZCentralAsia
0.001038392,0.475774,Indianwolf_BH6,AIndian
0.000885891,0.548656,Indianwolf_BH126,AIndian
0.001182749,0.547003,Indianwolf_SRR13985171,AIndian
0.000868237,0.54083,Indianwolf_BH124,AIndian
0.001059234,0.526253,Indianwolf_BH123,AIndian
0.001455296,0.252296,Tibetanwolf_MYL_SAMN12565073,BTibetan
0.001589416,0.148649,Tibetanwolf_BH1,BTibetan
0.001392852,0.268679,Tibetanwolf_BH4,BTibetan
0.000913369,0.621924,Wolf_Tibetan_CAN9A,BTibetan
0.001669919,0.222349,Wolf_Qinghai_CAN11,BTibetan
0.001496435,0.303007,Wolf_Qinghai_CAN16,BTibetan
0.001075951,0.519478,Wolf_Tibetan_CAN32,BTibetan
0.001916553,0.061569,Wolf_Iran_Kerman_SRR12009566,FSWAsia
0.001851307,0.056648,Wolf_Iran_Tehran_SRR12009567,FSWAsia
0.001882269,0.075918,Wolf_Iran_Hamadan,FSWAsia
0.001451575,0.172837,Wolf_Israel_S21_2743,FSWAsia
0.00177406,0.068211,Wolf_GeneralIran,FSWAsia
0.0013524,0.328152,Wolf_SaudiArabia,FSWAsia
0.001465274,0.302061,Wolf_Syria,FSWAsia
0.001922305,0.056371,Wolf_Iran_Hajjiabad,FSWAsia
0.001933575,0.041107,Wolf_Iran_Zanjan,FSWAsia
0.001978453,0.014984,Wolf_Iran_Tehran_SRR20326410,FSWAsia
0.001749101,0.140184,Lebanonwolf,FSWAsia
0.001934405,0.03124,Wolf_Iran_Tehran_SRR20326408,FSWAsia
0.001689574,0.041788,Wolf_Turkey,FSWAsia
0.00125777,0.393367,Wolf_Portugal,CEurope
0.001015375,0.595613,Wolf_Italy_ItalianWolf_SAMN02921313,CEurope
0.001450997,0.108397,Wolf_Norway_MW005,CEurope
0.00131061,0.178731,Wolf_Finland_MW347,CEurope
0.001223191,0.228642,Wolf_Lithuania_MW020,CEurope
0.001226028,0.211798,Wolf_Czech_MW045,CEurope
0.001321679,0.169306,Wolf_MW062_Romania,CEurope
0.001148218,0.269133,Wolf_Austria_MW515,CEurope
0.001410766,0.175683,Wolf_Ukraine_MW707,CEurope
0.00150971,0.112934,Wolf_Bosnia_MW703A,CEurope
0.001577909,0.098585,Wolf_Bulgaria_MW706A,CEurope
0.001413418,0.110736,Wolf_Croatia_MW1126,CEurope
0.001465021,0.08449,Wolf_Greece_MW1135,CEurope
0.001437785,0.101855,Wolf_Slovakia_MW339,CEurope
0.001390063,0.14118,Wolf_Germany_MW055,CEurope
0.001667945,0.069305,Wolf_Russia_GW3,ZCentralAsia
0.001897196,0.046353,Wolf_Xinjiang_CAN24,ZCentralAsia
0.001946726,0.029331,Wolf_Xinjiang_CAN30,ZCentralAsia
0.001761448,0.050347,Wolf_RussiaAtlai_GW1,ZCentralAsia
0.00174831,0.098829,Wolf_Kyrgyzstan_SRR20326406,ZCentralAsia
0.001560097,0.198238,Wolf_Kazakhstan_SRR20326405,ZCentralAsia
0.001912311,0.046572,Wolf_Russia_SRR20326404,ZCentralAsia
0.001825264,0.094398,Wolf_Russia_SRR20326403,ZCentralAsia
0.001898602,0.067938,Wolf_Russia_SRR20326401,ZCentralAsia
0.001892489,0,Wolf_Russia_SRR20326400,ZCentralAsia
0.001833623,0.020928,Wolf_Russia_SRR20326388,ZCentralAsia
0.001875587,0.037934,Wolf_Tajikistan_SRR20326385,ZCentralAsia
0.001879887,0.054212,Wolf_Tajikistan_SRR20326384,ZCentralAsia
0.001798811,0.080435,Wolf_Tajikisan_SRR20326383,ZCentralAsia
0.001939408,0.020339,Wolf_Tajikistan_SRR20326382,ZCentralAsia
0.00166694,0.150453,Wolf_Tajikistan_SRR20326381,ZCentralAsia
0.001946471,0,Wolf_Tajikistan_SRR20326251,ZCentralAsia
0.001618864,0.040933,Wolf_Tajikistan_SRR20326250,ZCentralAsia
0.001607991,0.037598,Wolf_Kazakhstan_750114-25D,ZCentralAsia
0.001601662,0.055759,Wolf_Kazakhstan_750119,ZCentralAsia
0.001620097,0.020659,Wolf_Russia_750125-33D,ZCentralAsia
0.001600416,0.041164,Wolf_Kazakhstan_750117,ZCentralAsia
0.001594904,0.0396,Wolf_Russia_7502882,ZCentralAsia
0.001925429,0.043278,Wolf_Russia_750016,ZCentralAsia
0.001944173,0.032372,Wolf_China_SRR20326486,ZCentralAsia
0.001962094,0.025992,China_SRR20326485_Xinjiang,ZCentralAsia
0.002024491,0,China_SRR20326484_Xinjiang,ZCentralAsia
0.001247325,0.214798,China_SRR20326483_Xinjiang,ZCentralAsia
0.001910464,0.058999,Wolf_MW486_Russia,Eastasia
0.001591698,0.054881,China_SRR20326491_Heilongjiang,Eastasia
0.001422663,0.104095,China_SRR20326479_Sichuan,Eastasia
0.001485017,0.067541,Wolf_Mongolia_MW574,Eastasia
0.001648982,0.069968,Wolf_China_InnerMong_Wang_GW4,Eastasia
0.001539224,0.033101,Wolf_China_InnerMongoliaWolf,Eastasia
0.001519376,0.036705,Wolf_Mongolia_MW588,Eastasia
0.001496612,0.068914,Wolf_Mongolia_MW561,Eastasia
0.00149134,0.08712,Wolf_Russia_MW524,Eastasia
0.001793374,0.109988,Wolf_Russia_MW538,Eastasia
0.001665451,0.189321,Wolf_InnerMongoliia_CAN7,Eastasia
0.001541327,0.169917,Wolf_InnerMongolia_CAN6,Eastasia
0.001781083,0.070457,Wolf_ChukotkaRussia_Wang_GW2,Eastasia
0.001374632,0.133184,Wolf_China_LiaoNing,Eastasia
0.001682221,0.129986,Wolf_Shanxi2_SAMN03168395,Eastasia