Sample,Allelic count,category,Population,Heterozygosity
D_Xinjiang_SRR20326484,16050,ATotal load,ECentralAsia,0.001962094
A_Indianwolf_BH123,14897,ATotal load,BIndian,0.001059234
A_Indianwolf_SRR13985171,15072,ATotal load,BIndian,0.001182749
B_Iran_Hajjiabad,16084,ATotal load,SWAsia,0.001922305
B_Iran_Tehran_SRR20326408,16124,ATotal load,SWAsia,0.001934405
B_Iran_Tehran_SRR20326410,16131,ATotal load,SWAsia,0.001978453
B_Iran_Zanjan,16265,ATotal load,SWAsia,0.001933575
E_Mexican1,13626,ATotal load,AMexican,0.000613557
D_Tajikistan_SRR20326384,16015,ATotal load,ECentralAsia,0.001875587
C_Tibetan_CAN32,14985,ATotal load,DTibetan,0.001075951
C_Tibetan_CAN9A,14685,ATotal load,DTibetan,0.001075951
D_Xinjiang_CAN30,16026,ATotal load,ECentralAsia,0.001946726
D_Xinjiang_SRR20326484,9490,Realized load,ECentralAsia,0.001962094
A_Indianwolf_BH123,11365,Realized load,BIndian,0.001059234
A_Indianwolf_SRR13985171,11247,Realized load,BIndian,0.001182749
B_Iran_Hajjiabad,9620,Realized load,SWAsia,0.001922305
B_Iran_Tehran_SRR20326408,9563,Realized load,SWAsia,0.001934405
B_Iran_Tehran_SRR20326410,9232,Realized load,SWAsia,0.001978453
B_Iran_Zanjan,9466,Realized load,SWAsia,0.001933575
E_Mexican1,12124,Realized load,AMexican,0.000613557
D_Tajikistan_SRR20326384,9573,Realized load,ECentralAsia,0.001875587
C_Tibetan_CAN32,11427,Realized load,DTibetan,0.001075951
C_Tibetan_CAN9A,11851,Realized load,DTibetan,0.001075951
D_Xinjiang_CAN30,9719,Realized load,ECentralAsia,0.001946726
D_Xinjiang_SRR20326484,6560,Masked load,ECentralAsia,0.001962094
A_Indianwolf_BH123,3532,Masked load,BIndian,0.001059234
A_Indianwolf_SRR13985171,3825,Masked load,BIndian,0.001182749
B_Iran_Hajjiabad,6464,Masked load,SWAsia,0.001922305
B_Iran_Tehran_SRR20326408,6561,Masked load,SWAsia,0.001934405
B_Iran_Tehran_SRR20326410,6899,Masked load,SWAsia,0.001978453
B_Iran_Zanjan,6799,Masked load,SWAsia,0.001933575
E_Mexican1,1502,Masked load,AMexican,0.000613557
D_Tajikistan_SRR20326384,6442,Masked load,ECentralAsia,0.001875587
C_Tibetan_CAN32,3558,Masked load,DTibetan,0.001075951
C_Tibetan_CAN9A,2834,Masked load,DTibetan,0.001075951
D_Xinjiang_CAN30,6307,Masked load,ECentralAsia,0.001946726